,Sentence,Target
1974,"While the appellantâ€™s counsel might not have made a specific objection to the testimony, the general rule being that an objection should be specific, naming a particular rule of evidence which will be violated by the admission of the evidence, the purpose of such a requirement is two-fold: (1) It enables the judge to understand the precise question and to make an intelligent ruling, and (2) It affords the offering party an opportunity to remedy the defect if possible.",Analysis
2073,Appellant did not testify.,Facts
1310,"Since there is no statement of facts on the merits in this case, this Court cannot consider the nature of the evidence in determining whether the trial court used discretion.",Analysis
1767,They first met at the Manhattan Club around 4:30 P.M. at which time appellant had a pint bottle of Scotch whisky one-fourth full.,Facts
3349,The officers expressed the opinion that appellant was “very intoxicated.”,Facts
2131,We are unable to conclude that the pictures were not admissible as shedding light upon those issues.â€,Conclusion
2557,"After the proprietor heard Robertâ€™s statement, he gave him $4.90 and Robert left.",Facts
1820,"Tommy Box, a 13 year old boy, and his father, Brady Box, were employees at the Luce Oil Company Service Station at the intersection of Little York and Aldine-Westfield Road.",Facts
2821,The driver of the other car testified that he smelled â€œthe heavy odor of beer in the carâ€ but that he could not conscientiously judge whether appellant was intoxicated.,Facts
480,"Also, the normal presumption that a seller of realty will require a mortgage or security agreement, made it necessary for the trial court to include such a mortgage requirement in its order to compel settlement.",Analysis
1657,The rule relied upon by appellant does not appear to be applicable here.,Rule/Law/Holding
2361,"Officers answering a report of the robbery were given a description of the robbers, and appellant and Lopez were found four or five blocks away, sitting on the curb with the sack of money between them.",Facts
997,"If Mr. Jacksonâ€™s testimony did raise an issue as to the legality of the search, the issue should have been submitted to the jury, as appellant requested.",Facts
1209,"On recross-examination, she testified that when the appellant last came into the trailer in May she could not be sure what he put between her legs.",Facts
1646,"The remaining claim for reversal relates to the overruling of appellantâ€™s motion for mistrial after Captain Johnson, upon being asked what happened when he first saw appellant in the hall on",Issue
264,It should be noted that Â§6500.13 was repealed and reenacted by Â§8 of P.L.,Invalid
3015,"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.",Analysis
1486,"The facts and circumstances are sufficient to warrant the finding of the jury that the appellant shot the deceased with a gun, causing his death, and support the conviction.",Analysis
3413,"Therefore, the admission of the pictures in evidence was not error.",Conclusion
3431,"Trial was had before the court without the aid of a jury, upon a plea of not guilty.",Facts
2269,"The judgment rendered and entered recites that the following verdict was returned and entered: â€œWe, the jury, find the defendant Ed Workman guilty, and assess a fine of $25.00 and Court cost of $58.30.â€",Conclusion
1691,"The testimony of a physician who examined the injured party at the hospital shows that he suffered an incision two inches long and through the abdominal wall which cut the colon and caused a small length of the intestine to protrude; that the wound was serious, and two surgical operations were performed; that he remained in the hospital for one month and three days, and was under medical treatment about ten weeks; and that the knife exhibited to him at the trial was capable of causing death.",Facts
